PRES (dbar),TEMP (°C),SAL (psu),COND (mS/cm),OXY (µmol/kg),TIME,FLUO (ug/L),TURB (NTU),PH,LAT (°N),LON (°E)
2.948333333333333,18.73894186958355,35.44100565680664,47.16628571613028,220.96896918464853,2026-06-25 03:51:20.432751,NaN,NaN,NaN,-34.588367,17.487849
3.1282499999999995,18.738167442134966,35.44100565680664,47.16605525283204,220.98358939360398,2026-06-25 03:51:20.174485,NaN,NaN,NaN,-34.588367,17.487849
3.312066666666667,18.73749927340219,35.44103394118846,47.16448023856847,221.27635341352797,2026-06-25 03:51:20.139494,NaN,NaN,NaN,-34.588367,17.487849
3.5358,18.739154601045527,35.441335600698,47.16654235744587,221.08178640200248,2026-06-25 03:51:20.885967,NaN,NaN,NaN,-34.588367,17.487849
3.723790697674419,18.741527296042214,35.44159730830394,47.17036952501661,220.98602542274878,2026-06-25 03:51:21.409628,NaN,NaN,NaN,-34.588367,17.487849
3.9085925925925924,18.742849682993253,35.441762982827385,47.17219058578824,220.56396767331157,2026-06-25 03:51:21.480626,0.708,0.22799999999999998,6.291171054406916,-34.588367,17.487849
4.080090909090909,18.746820663821016,35.44252737571707,47.17672173408544,220.2693872657663,2026-06-25 03:51:23.889426,0.714,0.22999999999999998,6.291177152751655,-34.588367,17.487849
4.323333333333333,18.748056566682454,35.44277056686074,47.17798273688262,220.91933572883838,2026-06-25 03:51:24.431709,0.714,0.230966081871345,6.291191736409304,-34.588367,17.487849
4.466833333333334,18.74978873475897,35.44285397562879,47.180047326185836,220.58400519694854,2026-06-25 03:51:24.748293,0.714,0.22999999999999998,6.29119290935899,-34.588367,17.487849
4.698,18.750173138014983,35.44288437741377,47.18046218973806,220.9052461795689,2026-06-25 03:51:24.898254,0.714,0.22999999999999998,6.29119290935899,-34.588367,17.487849
5.005,18.750140230539312,35.44289959717492,47.18052443861093,220.90012965477547,2026-06-25 03:51:25.098202,0.714,0.22999999999999998,6.291197765831988,-34.588367,17.487849
5.13857142857143,18.74975247690648,35.44289959717492,47.18054731090954,220.574193353838,2026-06-25 03:51:25.326714,0.714,0.23154993678887484,6.291195884031893,-34.588367,17.487849
5.351,18.749922559790498,35.44289959717492,47.18138517990497,220.57871505789097,2026-06-25 03:51:25.581409,0.714,0.23073743016759773,6.291190481097534,-34.588367,17.487849
5.57775,18.749989084090622,35.44289696099913,47.18163240113081,220.58061951875797,2026-06-25 03:51:25.648059,0.714,0.22799999999999998,6.291190481097534,-34.588367,17.487849
5.758,18.75049497273263,35.44285985251947,47.18270394342406,220.57564292862463,2026-06-25 03:51:25.897993,0.714,0.22799999999999998,6.29119290935899,-34.588367,17.487849
5.841,18.75049538819976,35.44285948595425,47.1827210704307,220.24307748230686,2026-06-25 03:51:25.897993,0.714,0.22799999999999998,6.2911950795285945,-34.588367,17.487849
6.151400000000001,18.750728956475953,35.442800426605686,47.18314295795433,220.57974756123352,2026-06-25 03:51:26.187918,0.714,0.22799999999999998,6.291191438321959,-34.588367,17.487849
6.267666666666666,18.750661407783053,35.44279154397003,47.18310017470002,220.58428056975612,2026-06-25 03:51:26.147928,0.714,0.22799999999999998,6.291193834939961,-34.588367,17.487849
6.538333333333334,18.75001595757176,35.44270353020503,47.18341214294481,220.584815380751,2026-06-25 03:51:26.481175,0.714,0.22799999999999998,6.2911950474361875,-34.588367,17.487849
6.718,18.749866558964243,35.442690217634976,47.183440522653726,220.4204601036911,2026-06-25 03:51:26.522831,0.714,0.22799999999999998,6.291192989536884,-34.588367,17.487849
6.885,18.749134901832797,35.44263832358837,47.182893381017394,220.42692183995703,2026-06-25 03:51:26.672791,0.7082274881516587,0.22999999999999998,6.291193001425143,-34.588367,17.487849
7.071,18.748709037688293,35.44260227449434,47.1822901581451,220.42885199459454,2026-06-25 03:51:26.772765,0.7135165876777251,0.22999999999999998,6.29119514196323,-34.588367,17.487849
7.311,18.748395837203468,35.44255604999028,47.18151014861177,220.6105110646551,2026-06-25 03:51:26.897733,0.714,0.22999999999999998,6.291187742435903,-34.588367,17.487849
7.454,18.748303359204336,35.44253736306994,47.18123990130968,220.44475886741418,2026-06-25 03:51:26.947720,0.7129411764705882,0.2316470588235294,6.291187624296841,-34.588367,17.487849
7.7330000000000005,18.748054750404105,35.44247167755297,47.18071946633982,220.61278506676018,2026-06-25 03:51:27.122674,0.714,0.22999999999999998,6.291191070249494,-34.588367,17.487849
7.919999999999999,18.74804990401508,35.44244387055257,47.18075011349939,220.27773611061508,2026-06-25 03:51:27.197655,0.714,0.22999999999999998,6.291192559052419,-34.588367,17.487849
8.146,18.747976850335807,35.44242498639736,47.18069443057549,220.2803877666848,2026-06-25 03:51:27.247642,0.708,0.22999999999999998,6.291190481097534,-34.588367,17.487849
8.31425,18.748263687161142,35.442366270884406,47.18110779890968,220.38208601776032,2026-06-25 03:51:27.410099,0.7126095890410958,0.22999999999999998,6.291186749963389,-34.588367,17.487849
8.557,18.748680898254953,35.44231832774871,47.18144896303525,220.62380035412676,2026-06-25 03:51:27.547563,0.714,0.22999999999999998,6.291185624524709,-34.588367,17.487849
