PRES (dbar),TEMP (°C),SAL (psu),COND (mS/cm),OXY (µmol/L),TIME,FLUO (ug/L),TURB (NTU),PH,NO3 (µmol/L),LAT (°N),LON (°E)
5.165192307692308,18.14310063413564,35.44333097869672,46.56468901895115,234.38016819697336,2026-06-25 05:16:09.091554,0.726,0.23109615384615412,6.3046524353833,1.3934332262743678,-34.74097483333333,17.5070105
5.353777777777777,18.144402709919884,35.443400650344415,46.56677326349436,234.19401417799708,2026-06-25 05:16:09.257536,0.726,0.2310205761316872,6.304651225265168,1.3167509380242977,-34.74097483333333,17.5070105
4.958366666666667,18.144242146509953,35.44328974576059,46.56509360645588,234.37564163351036,2026-06-25 05:16:09.319187,0.732,0.23199999999999998,6.304650725229373,1.3028213317216155,-34.74097483333333,17.5070105
4.759555555555556,18.1464062739716,35.44327333623834,46.5668583633436,233.9751316799879,2026-06-25 05:16:09.682426,0.7206190476190475,0.23379365079365083,6.304668821598597,1.4409095209798652,-34.74097483333333,17.5070105
4.5724687500000005,18.14979595015854,35.44318684862775,46.569889091372616,233.95260171836816,2026-06-25 05:16:10.420775,0.72,0.24112499999999906,6.304672535833837,1.2140917270919596,-34.74097483333333,17.5070105
4.357833333333333,18.153619932567,35.44318684862775,46.57343752696235,233.92005860554832,2026-06-25 05:16:11.590262,0.72,0.246,6.304681229984175,1.5134747289683943,-34.74097483333333,17.5070105
5.5864,18.149495085028732,35.443468290799984,46.57230184577967,234.03203423514992,2026-06-25 05:16:12.118457,0.726,0.2316830769230769,6.304665684358142,1.4475290639277891,-34.74097483333333,17.5070105
5.785,18.153699560107036,35.44347709370378,46.57664480583493,233.9403334676357,2026-06-25 05:16:13.423117,0.729,0.23099999999999998,6.304677384354991,1.4807518151868462,-34.74097483333333,17.5070105
5.896,18.154088988952832,35.443486886456746,46.57700366738017,233.9342492036738,2026-06-25 05:16:13.498098,0.726,0.23099999999999998,6.304680964727258,1.4900723916093208,-34.74097483333333,17.5070105
6.124499999999999,18.15367819897216,35.44348960096359,46.57664690797837,233.9364922214049,2026-06-25 05:16:13.648059,0.7290555555555555,0.22999999999999998,6.304682246605019,1.509259343974505,-34.74097483333333,17.5070105
6.3845,18.152405356441733,35.44349494330093,46.57537858007008,233.95050786175617,2026-06-25 05:16:13.823013,0.726,0.22999999999999998,6.304678577853384,1.5310913247839053,-34.74097483333333,17.5070105
6.472,18.151976154493827,35.44349494330093,46.57481059194617,233.96254025569738,2026-06-25 05:16:13.897993,0.732,0.22999999999999998,6.304672610476139,1.5326096240595677,-34.74097483333333,17.5070105
6.8146666666666675,18.151803389058145,35.44349494330093,46.574150618218404,233.9669260473061,2026-06-25 05:16:14.047954,0.726,0.22999999999999998,6.304672610476139,1.5197704578643898,-34.74097483333333,17.5070105
6.95,18.151830369228115,35.44349260095276,46.57397099090998,233.96363388814302,2026-06-25 05:16:14.097941,0.726,0.22999999999999998,6.304675594164761,1.5146997365849713,-34.74097483333333,17.5070105
7.089,18.15210033231506,35.443482420581624,46.57348746838431,233.96485050016156,2026-06-25 05:16:14.247902,0.726,0.22999999999999998,6.304674997440148,1.5094916312314797,-34.74097483333333,17.5070105
7.339,18.152235045572947,35.44347736959786,46.573334033605356,233.9669083670275,2026-06-25 05:16:14.297889,0.732,0.22999999999999998,6.304674997440148,1.5001245352719628,-34.74097483333333,17.5070105
7.584,18.15242943075173,35.44346843984559,46.57316979528967,233.96865586292725,2026-06-25 05:16:14.372870,0.726,0.22999999999999998,6.304674997440148,1.4824532172529084,-34.74097483333333,17.5070105
7.7795,18.152722909015534,35.44343908872326,46.573310500457886,233.96578531387067,2026-06-25 05:16:14.560321,0.729,0.23099999999999998,6.304677384387768,1.4469908472322048,-34.74097483333333,17.5070105
7.925,18.152354290323192,35.443414214198796,46.57359756064497,233.96714014931672,2026-06-25 05:16:14.672791,0.726,0.23099999999999998,6.304678577853384,1.4205981370633438,-34.74097483333333,17.5070105
8.148,18.152638670379282,35.44340737270645,46.57375675810726,233.97562868457032,2026-06-25 05:16:14.722778,0.726,0.23199999999999998,6.304673803941755,1.380147454124127,-34.74097483333333,17.5070105
8.431000000000001,18.15179519299937,35.44337098287646,46.57401659239062,233.97317315223097,2026-06-25 05:16:14.872739,0.726,0.23199999999999998,6.304679771310806,1.3495764473701697,-34.74097483333333,17.5070105
8.560500000000001,18.151259586584317,35.44335142326676,46.574049080509866,233.97877372103682,2026-06-25 05:16:14.947720,0.726,0.23199999999999998,6.304678577853384,1.3368414011817675,-34.74097483333333,17.5070105
8.7545,18.150409376483896,35.44331550700012,46.57383741570902,233.99199640756316,2026-06-25 05:16:15.072687,0.726,0.23199999999999998,6.304673803941755,1.3177634169304164,-34.74097483333333,17.5070105
9.15975,18.150148707518223,35.44326293771192,46.57343507387242,234.0035482667054,2026-06-25 05:16:15.235145,0.7311666666666666,0.23199999999999998,6.304669891968412,1.2779110812713435,-34.74097483333333,17.5070105
9.4265,18.150501201454276,35.44321473364124,46.573366305135586,234.18667812202503,2026-06-25 05:16:15.372609,0.726,0.23199999999999998,6.30466902999735,1.286960042515516,-34.74097483333333,17.5070105
9.620000000000001,18.15081082201376,35.44318724756191,46.57346450604617,234.18924648903558,2026-06-25 05:16:15.447590,0.7289999999999999,0.23199999999999998,6.304667836490763,1.2959678204647487,-34.74097483333333,17.5070105
9.736,18.151276884215108,35.443139002568216,46.57384818415548,234.17925612793897,2026-06-25 05:16:15.572557,0.7290000000000001,0.23199999999999998,6.304673803958143,1.3013678320518853,-34.74097483333333,17.5070105
9.9905,18.151466221042067,35.44309855958058,46.57414944561843,233.99703086522965,2026-06-25 05:16:15.672531,0.729,0.23099999999999998,6.304676190913958,1.3132152712667673,-34.74097483333333,17.5070105
10.149333333333333,18.151470979056015,35.44304606711034,46.57443862936694,234.252867324504,2026-06-25 05:16:15.797498,0.7301323529411765,0.23062254901960783,6.304672610476139,1.3272122561118114,-34.74097483333333,17.5070105
10.421,18.151022138302743,35.44298092181096,46.57467587776961,234.00923755902434,2026-06-25 05:16:15.947459,0.726,0.23199999999999998,6.304672610476139,1.3590782914781954,-34.74097483333333,17.5070105
10.566500000000001,18.150709901619436,35.44296961177044,46.57454591970451,234.37494560584906,2026-06-25 05:16:15.972453,0.729,0.23099999999999996,6.304671416985941,1.3761451926284125,-34.74097483333333,17.5070105
10.708,18.150662950669965,35.44295871167126,46.57463559289517,234.37482049118114,2026-06-25 05:16:15.997446,0.732,0.22999999999999998,6.304672610476139,1.3927429006198602,-34.74097483333333,17.5070105
11.001000000000001,18.148569310290014,35.442890953680056,46.573424807661254,234.20678543775813,2026-06-25 05:16:16.147407,0.732,0.23199999999999998,6.304672610476139,1.4271112994996782,-34.74097483333333,17.5070105
11.1445,18.147594127409597,35.44286812354852,46.5726288581494,234.2089475212649,2026-06-25 05:16:16.197394,0.729,0.23199999999999998,6.304674997440148,1.4267527227875014,-34.74097483333333,17.5070105
11.369,18.14537449979386,35.44282221763598,46.570491719042934,234.04438148192742,2026-06-25 05:16:16.297368,0.726,0.23199999999999998,6.304672610476139,1.373511903296899,-34.74097483333333,17.5070105
11.603000000000002,18.14314137526854,35.44277606367276,46.56771522293079,234.06967503714378,2026-06-25 05:16:16.397342,0.726,0.23100000000000007,6.304664255872669,1.318018131533865,-34.74097483333333,17.5070105
11.805,18.143098329175945,35.44277606326872,46.56769572784821,234.0775340838212,2026-06-25 05:16:16.397342,0.732,0.23199999999999998,6.30466067541027,1.270113251635862,-34.74097483333333,17.5070105
11.977,18.140741251236506,35.442718397252676,46.56447988012754,234.28512192241237,2026-06-25 05:16:16.522309,0.726,0.22999999999999998,6.304651127062569,1.2293229578613243,-34.74097483333333,17.5070105
12.168999999999999,18.138995307385706,35.44266113396398,46.56225076895197,234.21706438624642,2026-06-25 05:16:16.647277,0.7304166666666667,0.23199999999999998,6.30464635279038,1.2288484881509618,-34.74097483333333,17.5070105
