PRES (dbar),TEMP (°C),SAL (psu),COND (mS/cm),OXY (µmol/L),TIME,FLUO (ug/L),TURB (NTU),PH,NO3 (µmol/L),LAT (°N),LON (°E)
4.623,17.372620147718333,35.427285003565125,45.76446009995471,239.6431812778887,2026-06-25 00:05:20.334875,0.744,0.22599999999999998,6.299065967269442,2.1739427128883837,-34.538654666666666,17.678499666666667
4.7982941176470595,17.373615102468655,35.42735798200643,45.76638187796158,239.6450726759297,2026-06-25 00:05:21.060967,0.744,0.2273006535947711,6.297753720748617,2.118284446812641,-34.538654666666666,17.678499666666667
4.0105,17.376933801509,35.426177988110965,45.767276638943336,239.6008915411741,2026-06-25 00:05:21.311637,0.7409999999999994,0.2269999999999998,6.29907712565463,2.151432602698174,-34.538654666666666,17.678499666666667
3.8629,17.37788638024186,35.426177988110965,45.76756536810625,239.59543678815749,2026-06-25 00:05:21.354126,0.75,0.22599999999999998,6.299076809052409,2.193803272411742,-34.538654666666666,17.678499666666667
4.414782608695652,17.37533351812935,35.42686956365738,45.76707917105152,239.60829347761128,2026-06-25 00:05:21.601235,0.744,0.22599999999999998,6.299079219565672,2.198142835636977,-34.538654666666666,17.678499666666667
4.234619047619048,17.37703686374037,35.42646964747568,45.768555110172045,239.59772426927628,2026-06-25 00:05:21.791869,0.7392597402597402,0.22599999999999998,6.299080117878715,2.087604262589575,-34.538654666666666,17.678499666666667
4.979625,17.376144666903038,35.42753328796498,45.768433756028486,239.61732853120134,2026-06-25 00:05:23.692266,0.738,0.22599999999999998,6.2976937033207365,2.0464132938863058,-34.538654666666666,17.678499666666667
5.434500000000001,17.375957618437162,35.42780865243362,45.768644104218524,239.61652810149673,2026-06-25 00:05:24.860712,0.738,0.22599999999999998,6.299078331997963,1.8911242891711688,-34.538654666666666,17.678499666666667
5.293666666666666,17.37563519247828,35.42778105853024,45.76864513470239,239.62105121391997,2026-06-25 00:05:24.914864,0.738,0.22599999999999998,6.299075446351414,1.9382380221085025,-34.538654666666666,17.678499666666667
5.617500000000001,17.374836655112926,35.42788489215891,45.76857535183193,239.77989291643016,2026-06-25 00:05:25.073156,0.744,0.22799999999999998,6.297559977533907,1.9524980696417922,-34.538654666666666,17.678499666666667
5.8165,17.37407719448086,35.42796668104562,45.76848077999774,239.83478381665373,2026-06-25 00:05:25.248111,0.744,0.22799999999999998,6.299065062561768,2.0535967129432553,-34.538654666666666,17.678499666666667
6.005166666666667,17.37378342801493,35.428054267151076,45.76881200390819,239.6436710349998,2026-06-25 00:05:25.473052,0.744,0.22799999999999998,6.2971642857716645,2.1494456779493336,-34.538654666666666,17.678499666666667
6.128,17.37403146147281,35.42814285775626,45.77002483952108,239.6475331668222,2026-06-25 00:05:25.747980,0.744,0.22799999999999998,6.299068681550248,2.2046578741816987,-34.538654666666666,17.678499666666667
6.41325,17.37426525093067,35.428153784955285,45.77023335133559,239.6524986825831,2026-06-25 00:05:25.797967,0.744,0.22799999999999998,6.29906679967408,2.3315805322997343,-34.538654666666666,17.678499666666667
6.6245,17.37425503182564,35.42816261682926,45.77038807224743,239.64996713986204,2026-06-25 00:05:25.822961,0.744,0.22799999999999998,6.299069887868669,2.3957029735296542,-34.538654666666666,17.678499666666667
6.799333333333334,17.375445398475872,35.428220427677424,45.771238694847845,239.65470135024069,2026-06-25 00:05:26.097889,0.744,0.22799999999999998,6.299064567650191,2.283570892479986,-34.538654666666666,17.678499666666667
