PRES (dbar),TEMP (°C),SAL (psu),COND (mS/cm),OXY (µmol/L),TIME,FLUO (ug/L),TURB (NTU),PH,NO3 (µmol/L),LAT (°N),LON (°E)
3.2385,17.365471270259977,35.42608957432956,45.75611646033686,238.95410514148574,2026-06-25 01:53:10.249935,0.738,0.22599999999999998,6.294400478112755,1.7198633476873504,-34.42528983333333,17.647832333333334
3.4111874999999996,17.36556210176859,35.42608957432956,45.7563815791556,238.95496109218374,2026-06-25 01:53:10.796667,0.7391964285714284,0.22560119047619048,6.292305772627515,1.736094965476161,-34.42528983333333,17.647832333333334
3.6262777777777777,17.365013196072848,35.42661772470025,45.75651578817683,238.95989549708477,2026-06-25 01:53:11.577367,0.744,0.22399999999999998,6.291874448092176,1.763330563166872,-34.42528983333333,17.647832333333334
3.8200000000000007,17.363552570053418,35.42699531255048,45.75547718175264,238.9725214065867,2026-06-25 01:53:12.375468,0.744,0.22599999999999998,6.292491828706788,1.7667392937817379,-34.42528983333333,17.647832333333334
4.022363636363635,17.36018653189447,35.42735581571657,45.75192839253092,239.0046593088689,2026-06-25 01:53:14.364771,0.744,0.22599999999999998,6.295290431217856,1.7368548955540386,-34.42528983333333,17.647832333333334
4.197466666666666,17.359580579784566,35.42735581571657,45.751634271861654,239.1133933990993,2026-06-25 01:53:15.018692,0.7483666666666666,0.22599999999999998,6.295288005442513,1.762090431454071,-34.42528983333333,17.647832333333334
4.398428571428572,17.359476755231288,35.42735581571657,45.75135625038191,239.01602189014378,2026-06-25 01:53:15.262914,0.7467783251231529,0.22599999999999998,6.295287826189063,1.6758951276943805,-34.42528983333333,17.647832333333334
4.575375,17.35886419356344,35.42733482189496,45.75093949489536,239.18310601693025,2026-06-25 01:53:15.817234,0.7414396551724137,0.22599999999999998,6.295284544499327,1.674236721626728,-34.42528983333333,17.647832333333334
4.807142857142857,17.357851488513056,35.42710367083509,45.749930703768605,239.21068718372143,2026-06-25 01:53:17.312380,0.738,0.22599999999999998,6.295285579650471,1.8213051817099564,-34.42528983333333,17.647832333333334
4.989199999999999,17.35771991446321,35.42707475476409,45.7501184841773,239.03054529902352,2026-06-25 01:53:17.458056,0.744,0.22399999999999998,6.295288005442513,1.7940594238179988,-34.42528983333333,17.647832333333334
5.297000000000001,17.358119496232685,35.42700725071719,45.75163771883946,239.03782129020098,2026-06-25 01:53:17.797967,0.744,0.22499999999999995,6.2952843667294,1.7479956212803247,-34.42528983333333,17.647832333333334
5.3985,17.358205285858297,35.42700723187808,45.75167896388734,239.03852727542247,2026-06-25 01:53:17.797967,0.744,0.22399999999999998,6.295284366746101,1.7328056409113386,-34.42528983333333,17.647832333333334
5.6290000000000004,17.35898057805497,35.42698079807119,45.75271657640645,239.03670060952044,2026-06-25 01:53:17.931266,0.744,0.2245657894736842,6.295284893401946,1.6983101682507347,-34.42528983333333,17.647832333333334
5.8075,17.359978908713394,35.42695287348759,45.7535852792466,239.03115709016697,2026-06-25 01:53:18.072896,0.744,0.22399999999999998,6.295286792546492,1.6909207838344043,-34.42528983333333,17.647832333333334
