PRES (dbar),TEMP (°C),SAL (psu),COND (mS/cm),OXY (µmol/L),TIME,FLUO (ug/L),TURB (NTU),PH,NO3 (µmol/L),LAT (°N),LON (°E)
3.1014000000000004,17.39262900629547,35.41506076734909,45.770055851180636,240.96355256082384,2026-06-25 05:41:48.679614,0.726,0.22799999999999998,6.299111770698731,1.7379884063396136,-34.786271,17.513322666666667
3.264375,17.39189876589181,35.41506076734909,45.76966099680312,240.6040317003344,2026-06-25 05:41:48.812080,0.726,0.22799999999999998,6.29911215672944,1.8060388404798764,-34.786271,17.513322666666667
3.481176470588235,17.39228893070503,35.415052096268965,45.77007771380916,240.58653375884555,2026-06-25 05:41:49.002471,0.726,0.22799999999999998,6.299118701388583,1.7084676061804518,-34.786271,17.513322666666667
3.690741935483871,17.393445617767252,35.415013585209245,45.77150475353039,240.9605299096005,2026-06-25 05:41:50.112144,0.726,0.22667741935483868,6.299115413614511,1.714406969028424,-34.786271,17.513322666666667
3.8780000000000006,17.394021031968105,35.415013585209245,45.77208276775802,240.62366015780975,2026-06-25 05:41:51.087558,0.726,0.22799999999999998,6.299122358761148,1.7532076501078513,-34.786271,17.513322666666667
4.053318181818182,17.39374531294336,35.415013585209245,45.771885725233886,240.58725574854918,2026-06-25 05:41:52.039648,0.726,0.22721969696969696,6.299117991054119,1.6014895383885646,-34.786271,17.513322666666667
4.263999999999999,17.39058499688464,35.41516253429391,45.76877697262203,240.61958008852443,2026-06-25 05:41:53.376168,0.72,0.22599999999999998,6.299108017724393,1.785048633380154,-34.786271,17.513322666666667
4.471,17.389935738747024,35.41525569853258,45.7687951043996,240.62868053285686,2026-06-25 05:41:54.031553,0.72,0.22599999999999998,6.2991054823428,1.77242358747563,-34.786271,17.513322666666667
4.6302,17.390002097071996,35.415280119132184,45.76920087336093,240.62780273341608,2026-06-25 05:41:54.158186,0.72,0.22599999999999998,6.299106919881545,1.7627138903355324,-34.786271,17.513322666666667
4.867,17.390599634425136,35.41534179146358,45.77074848834154,240.80178590265987,2026-06-25 05:41:54.488100,0.72,0.22599999999999998,6.299108427623045,1.7482713257452362,-34.786271,17.513322666666667
5.075666666666667,17.39111926008331,35.415376270652864,45.77163512485495,240.6208489109379,2026-06-25 05:41:54.681383,0.72,0.22599999999999998,6.299111058404659,1.7355446289075036,-34.786271,17.513322666666667
5.283250000000001,17.39135012633145,35.41538718191005,45.77177484478458,240.62500383408326,2026-06-25 05:41:54.748033,0.72,0.22721428571428567,6.299109177174691,1.7228840051763563,-34.786271,17.513322666666667
5.421,17.392033360098925,35.41541982015343,45.772209089513204,240.61869440370728,2026-06-25 05:41:54.947980,0.726,0.22399999999999998,6.299112106472401,1.714482555546655,-34.786271,17.513322666666667
5.649,17.392537323694672,35.415439736042885,45.772276618094125,240.62264420175416,2026-06-25 05:41:55.085445,0.726,0.22599999999999998,6.299109694117885,1.700576707883701,-34.786271,17.513322666666667
5.875666666666667,17.393151139391563,35.41546312024573,45.772463593118,240.62755118669594,2026-06-25 05:41:55.264565,0.726,0.22599999999999998,6.2991145188103115,1.686752180967314,-34.786271,17.513322666666667
6.212,17.39354488259277,35.41548761662576,45.772827830511275,240.61264906479408,2026-06-25 05:41:55.422857,0.726,0.22599999999999998,6.299116931131616,1.6662390226457926,-34.786271,17.513322666666667
6.149,17.393665396698815,35.415480994499035,45.77297946157093,240.61769513390144,2026-06-25 05:41:55.485340,0.726,0.22599999999999998,6.29911295788285,1.6700814279210825,-34.786271,17.513322666666667
6.4285,17.39378896436505,35.41550271701716,45.77340864761608,240.61576805387762,2026-06-25 05:41:55.647798,0.726,0.22599999999999998,6.299115724954358,1.653034566421979,-34.786271,17.513322666666667
6.842333333333333,17.393707990304804,35.415514175819894,45.77350259896878,240.62139105799943,2026-06-25 05:41:55.814421,0.726,0.22599999999999998,6.299115240442406,1.6277946397062517,-34.786271,17.513322666666667
7.1066666666666665,17.39378634910906,35.41552238174699,45.77333132585377,240.62774563260643,2026-06-25 05:41:56.014369,0.726,0.22599999999999998,6.299112802891381,1.6116728016993473,-34.786271,17.513322666666667
7.245333333333334,17.39374330224884,35.415523193186736,45.77332824541744,240.90921445154947,2026-06-25 05:41:56.014369,0.726,0.22599999999999998,6.299113865834555,1.6032154440563813,-34.786271,17.513322666666667
7.524,17.39354858425721,35.41552496155697,45.77308845414177,240.6268539324856,2026-06-25 05:41:56.197655,0.726,0.22599999999999998,6.299116931131616,1.5862194080238818,-34.786271,17.513322666666667
7.623,17.393303444805248,35.41552496155697,45.772946622079225,240.6252460018621,2026-06-25 05:41:56.247642,0.726,0.22599999999999998,6.299119343436315,1.5801813425912834,-34.786271,17.513322666666667
7.921333333333333,17.392354106933755,35.41552496155697,45.77238871590843,240.63284787850486,2026-06-25 05:41:56.380940,0.726,0.22599999999999998,6.299119343436315,1.561985825546921,-34.786271,17.513322666666667
8.0885,17.3920475353005,35.41552375494747,45.7722036753855,240.64369549515598,2026-06-25 05:41:56.422596,0.726,0.22599999999999998,6.299114518802009,1.5963494973228838,-34.786271,17.513322666666667
8.333,17.391032572820986,35.41551805217567,45.77155779778834,240.65102157887785,2026-06-25 05:41:56.572557,0.729,0.22599999999999998,6.299114518802009,1.6595357940385624,-34.786271,17.513322666666667
8.504999999999999,17.390651649667774,35.41551009800676,45.77123644298068,240.6660841668053,2026-06-25 05:41:56.697524,0.726,0.2249999999999999,6.299107281746762,1.7039858678017388,-34.786271,17.513322666666667
8.6525,17.390588523691992,35.415506269227606,45.771170266225994,240.85392805096527,2026-06-25 05:41:56.747511,0.726,0.22599999999999998,6.29910728171355,1.742104390360277,-34.786271,17.513322666666667
9.0135,17.390649109819584,35.41549232156919,45.771144853125136,240.85379407076275,2026-06-25 05:41:56.897472,0.7289999999999999,0.22599999999999998,6.299109694117885,1.7708765422612385,-34.786271,17.513322666666667
9.242333333333333,17.390765166053672,35.41548284178788,45.77119575129026,240.67417737169455,2026-06-25 05:41:56.980784,0.726,0.22599999999999998,6.299106933290757,1.7836573321041844,-34.786271,17.513322666666667
9.486,17.390862794465644,35.41546093440005,45.771359818182255,240.66443056363815,2026-06-25 05:41:57.147407,0.726,0.22599999999999998,6.2991145188103115,1.797266592665282,-34.786271,17.513322666666667
9.842,17.39082528992865,35.415453343085,45.77138296216836,240.67610907412026,2026-06-25 05:41:57.172401,0.726,0.22599999999999998,6.299109694109582,1.8171498899009213,-34.786271,17.513322666666667
9.58,17.39082244668189,35.415456711517066,45.77141650562226,240.66945533437055,2026-06-25 05:41:57.197394,0.726,0.22599999999999998,6.299112106472401,1.8025166767668273,-34.786271,17.513322666666667
10.063666666666666,17.390701197014565,35.41542785250564,45.771527706977515,240.6804225872415,2026-06-25 05:41:57.347355,0.7300192307692307,0.22599999999999998,6.299108874524777,1.8170421995138353,-34.786271,17.513322666666667
10.2575,17.39068667745766,35.415403856266124,45.771572113971104,240.68324421043064,2026-06-25 05:41:57.472322,0.726,0.22599999999999998,6.300980524005728,1.793122271904353,-34.786271,17.513322666666667
10.6695,17.390724885050908,35.415376904111625,45.77170983726576,240.68759175832565,2026-06-25 05:41:57.597290,0.726,0.22599999999999998,6.299108487932323,1.7422795710869496,-34.786271,17.513322666666667
10.887,17.390734396043165,35.41536543089201,45.7718087143285,240.6899318013565,2026-06-25 05:41:57.647277,0.726,0.22599999999999998,6.299108487932323,1.7154390676214513,-34.786271,17.513322666666667
11.119,17.39073562811161,35.41534140369878,45.77205510288546,240.69058038316626,2026-06-25 05:41:57.747251,0.726,0.22599999999999998,6.299109694117885,1.7185347210718303,-34.786271,17.513322666666667
11.2675,17.390699623863192,35.41530819600854,45.77226871827587,240.69431549206456,2026-06-25 05:41:57.872218,0.726,0.22599999999999998,6.299108487932323,1.7227509554988627,-34.786271,17.513322666666667
11.444,17.390697292217943,35.41530181024609,45.77232804753679,240.69435076882894,2026-06-25 05:41:57.897212,0.726,0.22599999999999998,6.299109694117885,1.7277621701545613,-34.786271,17.513322666666667
11.6415,17.39067661896916,35.41529435773671,45.77232483251093,240.69851138873375,2026-06-25 05:41:57.922205,0.7289999999999995,0.22599999999999998,6.299108487932323,1.7333696199817596,-34.786271,17.513322666666667
11.909999999999998,17.390544779569982,35.4152429175104,45.772430587160926,240.70120194212393,2026-06-25 05:41:58.097160,0.726,0.22599999999999998,6.2991090648036785,1.7409929125316468,-34.786271,17.513322666666667
12.113,17.39042326333487,35.41521116559705,45.77252951198566,240.7068320185726,2026-06-25 05:41:58.197133,0.726,0.22599999999999998,6.299107281746762,1.7467565191894758,-34.786271,17.513322666666667
12.235,17.39035167764508,35.41519460205631,45.77261373211059,240.7047011596014,2026-06-25 05:41:58.247120,0.726,0.22599999999999998,6.299109694117885,1.7608944627162495,-34.786271,17.513322666666667
12.384,17.39021348478173,35.41516025738466,45.7728223039473,240.71081817205058,2026-06-25 05:41:58.347094,0.726,0.22599999999999998,6.299107281746762,1.7781612953841945,-34.786271,17.513322666666667
12.738,17.390224872453388,35.4151509744246,45.77288323699479,240.7108207080423,2026-06-25 05:41:58.372088,0.726,0.22599999999999998,6.299109694117885,1.8191845085684395,-34.786271,17.513322666666667
12.8705,17.390204037034728,35.41512412289337,45.77306220991463,240.712397360622,2026-06-25 05:41:58.447068,0.723,0.22599999999999998,6.300981730191289,1.83453924231678,-34.786271,17.513322666666667
13.049,17.390503084802155,35.41507716155026,45.77348313340437,240.7168470259078,2026-06-25 05:41:58.572036,0.726,0.22599999999999998,6.2991072817384595,1.8542487169928352,-34.786271,17.513322666666667
13.474666666666666,17.391351195315952,35.4150276338737,45.774333018322714,240.7184245214652,2026-06-25 05:41:58.697003,0.726,0.22599999999999998,6.2991067970644545,1.8574177559715577,-34.786271,17.513322666666667
13.74,17.392897695398506,35.41496545216001,45.77600811475249,240.70972721189074,2026-06-25 05:41:58.846964,0.726,0.22599999999999998,6.299109694117885,1.8593931318737213,-34.786271,17.513322666666667
13.903666666666666,17.39331019500609,35.41495092754517,45.77650580129281,240.70963619349774,2026-06-25 05:41:58.880289,0.726,0.22599999999999998,6.299109694117885,1.860611611230458,-34.786271,17.513322666666667
14.214,17.394698597250763,35.414900111367714,45.7781684899873,240.69909277024314,2026-06-25 05:41:58.996925,0.72,0.22599999999999998,6.2991145188103115,1.862922006915024,-34.786271,17.513322666666667
14.393,17.39551454517789,35.41486633172777,45.779159540856426,240.69162864376187,2026-06-25 05:41:59.071905,0.726,0.22599999999999998,6.2991181372839655,1.8629329793967484,-34.786271,17.513322666666667
14.6405,17.39642333606661,35.41482029968216,45.780201053019695,240.68831271265557,2026-06-25 05:41:59.171879,0.723,0.22699999999999998,6.299119343436315,1.8375163143209485,-34.786271,17.513322666666667
14.921000000000001,17.39703839844812,35.41475301621049,45.78077690627888,240.68187407325001,2026-06-25 05:41:59.313509,0.726,0.22799999999999998,6.302027132659546,1.808710760568375,-34.786271,17.513322666666667
15.040500000000002,17.397024415114977,35.414712646020405,45.7806733027427,240.68244170532856,2026-06-25 05:41:59.396821,0.726,0.22799999999999998,6.299124167987596,1.7964388758146048,-34.786271,17.513322666666667
15.487,17.396542180675944,35.414625729395524,45.78000500395194,240.68201770976745,2026-06-25 05:41:59.496795,0.726,0.22799999999999998,6.299128992489061,1.770420405399717,-34.786271,17.513322666666667
15.354,17.39588308832898,35.414663367127076,45.779091481926145,240.68354041902387,2026-06-25 05:41:59.571775,0.726,0.22799999999999998,6.299128992489061,1.777349186095245,-34.786271,17.513322666666667
15.768,17.39515731062478,35.41458769819776,45.778055087930355,240.69910736396534,2026-06-25 05:41:59.646756,0.726,0.22799999999999998,6.299124167995899,1.7557814025768343,-34.786271,17.513322666666667
15.972,17.39466972125239,35.41456210092461,45.77736619490871,240.7112242790259,2026-06-25 05:41:59.696743,0.726,0.22799999999999998,6.299119343436315,1.7451537991039945,-34.786271,17.513322666666667
16.118000000000002,17.39396921745986,35.414523375435465,45.776464940701004,240.71989565765966,2026-06-25 05:41:59.771723,0.726,0.22799999999999998,6.299116931131616,1.73754776916755,-34.786271,17.513322666666667
16.3005,17.39311681277703,35.41447125171385,45.775594590501456,240.7239641008576,2026-06-25 05:41:59.871697,0.726,0.22799999999999998,6.2991181372839655,1.7280402317469947,-34.786271,17.513322666666667
16.502,17.392549096625586,35.414431836829785,45.77518549306509,240.7345372618338,2026-06-25 05:41:59.946677,0.726,0.22799999999999998,6.2991145188103115,1.7175428685127925,-34.786271,17.513322666666667
16.686,17.3919676752736,35.41437886583276,45.77489391512719,240.7354738446152,2026-06-25 05:42:00.046651,0.726,0.22799999999999998,6.299116931131616,1.7077450766590772,-34.786271,17.513322666666667
