PRES (dbar),TEMP (°C),SAL (psu),COND (mS/cm),OXY (µmol/kg),TIME,FLUO (ug/L),TURB (NTU),PH,LAT (°N),LON (°E)
1.3142,17.33969700453376,35.406198348404395,45.70301583344002,239.97038914813373,2026-06-25 05:59:11.207868,NaN,NaN,NaN,-34.786271,17.513322666666667
1.4878,17.339749653793255,35.406198348404395,45.70303804124144,240.2877029341444,2026-06-25 05:59:11.197870,NaN,NaN,NaN,-34.786271,17.513322666666667
1.6776666666666669,17.33771336147228,35.406197117808965,45.702947688399895,239.9376321653815,2026-06-25 05:59:10.877954,NaN,NaN,NaN,-34.786271,17.513322666666667
1.897,17.337652809876232,35.40619593890771,45.703347532613044,239.93649325705906,2026-06-25 05:59:10.727993,NaN,NaN,NaN,-34.786271,17.513322666666667
2.144230769230769,17.33754084092341,35.4061673747109,45.703969632617,240.22358283208317,2026-06-25 05:59:10.039711,NaN,NaN,NaN,-34.786271,17.513322666666667
2.300888888888889,17.337193020506607,35.406115259111466,45.704727731270864,240.31150262766417,2026-06-25 05:59:09.139518,NaN,NaN,NaN,-34.786271,17.513322666666667
2.4737500000000003,17.337429912789172,35.406099025968985,45.704771506068404,240.31722398410346,2026-06-25 05:59:08.943041,NaN,NaN,NaN,-34.786271,17.513322666666667
2.6560909090909095,17.33977472171361,35.40602207216944,45.70550801922619,240.29129627349633,2026-06-25 05:59:08.278631,NaN,NaN,NaN,-34.786271,17.513322666666667
2.89375,17.342101868430937,35.40592627133423,45.706235891446745,240.06490073264087,2026-06-25 05:59:07.353872,NaN,NaN,NaN,-34.786271,17.513322666666667
3.1285000000000003,17.34220176423143,35.40589561633385,45.70630069297698,240.09201886075024,2026-06-25 05:59:07.087275,NaN,NaN,NaN,-34.786271,17.513322666666667
3.2885,17.341167613291418,35.40587164201646,45.70612699406179,240.2928188272182,2026-06-25 05:59:06.866499,NaN,NaN,NaN,-34.786271,17.513322666666667
3.5222,17.339623071976735,35.405850718851205,45.70606100844077,240.2974078702261,2026-06-25 05:59:06.659053,NaN,NaN,NaN,-34.786271,17.513322666666667
3.674,17.339558684076977,35.4058135831129,45.708308357405265,240.1702192228426,2026-06-25 05:59:06.210420,NaN,NaN,NaN,-34.786271,17.513322666666667
3.9090999999999996,17.34105331003068,35.4058135831129,45.71020211059411,240.2414107017874,2026-06-25 05:59:05.709301,NaN,NaN,NaN,-34.786271,17.513322666666667
4.085588235294118,17.34179977882293,35.4058135831129,45.70964821668073,240.29508443223173,2026-06-25 05:59:05.058882,NaN,NaN,NaN,-34.786271,17.513322666666667
